country,continent,cancer_incidence_rate,smoking_rate,gdp_per_capita,healthcare_access,pollution_index,alcohol_consumption,obesity_rate,physical_activity_rate
Country_1,Oceania,168.28190232121074,6.5105969182701635,11730.924979549545,21.144800699654464,55.68493408160095,11.466531322467516,22.70610376095631,40.682158012185084
Country_2,Europe,238.5672446796019,36.19000897943249,21394.36971610793,32.74973521779147,31.816875917357223,8.038085461294708,26.400898240212673,87.66421904816731
Country_3,South America,146.0835851180845,23.469538818020496,53910.5161844547,11.976213181925122,20.335314226528318,4.250977732055443,5.6338564337294175,38.91976366518678
Country_4,Africa,151.00937465569342,39.753767864175515,28963.736775509467,89.0527280739895,64.95580381974693,13.594044025843958,35.5243368130453,54.87744742362142
Country_5,Oceania,170.07865549577275,7.58287976573896,40385.906572740605,59.359245355404866,35.97674979162302,6.3744770992249595,37.624139886926436,35.12098008471863
Country_6,North America,180.70470890647113,24.384899954046226,11166.87240089616,67.91023191444896,62.31143992803511,8.60974005559584,24.77966142562231,89.81245511075684
Country_7,Africa,153.24901792781134,38.92558874666847,12345.052109711576,78.91712386073382,23.892644374678206,13.690609553503657,29.38277883569123,60.13170061987455
Country_8,Africa,139.3427489852125,23.30842454595521,3411.248359722253,49.84421989290573,53.30260916693357,9.73933194279589,37.28747834120535,65.72310103920262
Country_9,South America,153.98569355926108,27.02895233473419,10967.168721257709,8.69202880874237,57.93304892964273,2.6365725699170968,29.75335220096895,34.02458864330565
Country_10,North America,217.8643077246806,29.351204114461602,17436.83000288556,53.71065418185478,14.664118314018422,14.157649730588652,10.338866501999147,74.99762822395067
Country_11,North America,181.80443447567848,20.908937266872062,11443.618572328061,58.68411180208791,40.294385037452855,9.78791274299985,25.170092605838462,42.594335585735145
Country_12,Oceania,177.71658251088124,26.96453280294222,6233.449491666282,74.54394741843299,22.09732092450768,5.688678605199206,26.235026623399957,83.88325736644282
Country_13,North America,190.67422317133335,25.45100091730851,8117.516394935448,43.16595462296794,15.703747342549097,2.9498090172874214,19.84457349558351,42.308378428920435
Country_14,Europe,203.13036862243197,36.540530367184616,28185.94731393082,12.758030279556376,99.09642091509507,12.116352649784144,30.7755482468653,41.441263239819996
Country_15,South America,146.98828743896567,6.590623311951026,13173.689385941758,28.377590579872447,39.01184604772507,9.68101858299919,37.70284551691552,32.192980070885696
Country_16,North America,199.16515232847763,14.833711635728061,22491.92180183645,36.30822963986351,82.88870012691714,8.468455287668501,37.39489795173717,58.324016706599956
Country_17,Oceania,174.98471017969388,38.264401942679555,30701.618980436557,64.59172413316013,32.917658928738746,13.514496162713407,20.77937799914462,63.890467995756985
Country_18,Europe,208.7727019516517,36.159232436182066,41733.29488913255,57.077830466891186,71.33524500015363,12.040360957143431,8.963331604426434,33.94251836570114
Country_19,Asia,153.26727963283784,20.947986347499953,3319.416250624837,35.60967258978462,78.42050739007179,3.1234483162585165,39.46944196368171,76.53165700170064
Country_20,Asia,161.7351195143929,26.704640923053784,48165.21353563351,98.65152487929797,63.60748665470599,5.364108949137675,34.361433025607695,57.197330084881656
